sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.0295;9.8078;0.565;-1.1868;9.7306;0.278;0.5865;0.1191;0.3032;0.0205;-0.0221;-0.0597;22.0;682.8;-240.1;1024.5;289.03;-82.86;76.82;;34.234;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 17;98.8;57.0;3.912;33;2014-11-08 13:50:45:575
-1.1923;9.3733;0.9708;-1.3697;9.7076;0.237;-0.0022;0.3576;0.5231;0.028;-0.0434;-0.2107;25.0;682.9;-240.1;1024.5;291.68;-83.04;79.41;;69.963;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 17;98.8;57.0;3.912;547;2014-11-08 13:50:46:089
-0.428;9.6744;0.9104;-1.3876;9.7038;0.2858;-0.5296;0.398;0.6024;0.0258;0.0719;-0.1987;22.0;683.3;-240.1;1023.7;287.41;-82.55;75.24;;67.99;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 17;98.8;57.0;3.912;1051;2014-11-08 13:50:46:593
-0.3879;10.0443;0.4519;-1.4115;9.6912;0.5084;-0.5189;0.3716;0.4966;-0.1244;-0.0391;0.0975;22.0;681.1;-240.1;1022.8;282.01;-81.2;70.19;;68.48;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 17;98.8;57.0;3.912;1581;2014-11-08 13:50:47:123
0.2286;8.855;1.7687;-1.2097;9.7;0.785;1.4383;-0.8451;0.9837;-0.1553;0.2061;0.265;22.0;683.9;-240.1;1021.6;269.16;-81.54;57.02;;69.999;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 17;98.8;57.0;3.912;2092;2014-11-08 13:50:47:634
17.4573;4.2725;3.4542;2.526;9.3775;1.3612;14.9313;-5.105;2.093;-0.6762;-0.5175;1.1678;21.0;675.0;-245.0;1018.0;248.1;-82.34;35.62;;55.121;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;2631;2014-11-08 13:50:48:173
-2.4325;10.3711;0.5435;-0.4574;9.7789;0.5789;-1.9751;0.5922;-0.0354;-0.3587;-0.0842;0.3747;23.0;683.7;-240.8;1023.8;174.75;-85.59;-39.05;;69.752;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;3161;2014-11-08 13:50:48:703
0.1239;9.8809;1.2049;-1.0276;9.7495;0.2501;1.1515;0.1314;0.9548;-0.0035;0.1995;0.2053;25.0;682.1;-241.3;1026.8;293.54;-82.98;81.37;;62.405;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;3681;2014-11-08 13:50:49:223
2.1213;7.999;2.8593;-0.2727;9.7317;1.1794;-3.0271;0.151;-0.7391;-0.0908;-0.0442;0.5081;25.0;681.1;-241.3;1026.8;288.53;-83.68;76.26;;49.403;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;4201;2014-11-08 13:50:49:743
-1.163;8.8675;0.2747;-1.5938;9.6757;-0.107;0.3774;-0.8173;0.3243;0.0376;-0.3949;-0.1513;25.0;683.5;-239.7;1027.2;305.65;-80.63;93.84;;64.053;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;4742;2014-11-08 13:50:50:284
