sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.5048;8.6239;3.9367;-1.8641;8.4019;4.7014;0.5485;-0.0109;0.4809;0.0951;-0.6602;-0.2618;15.0;676.1;-224.5;986.9;234.62;-58.62;20.85;2.0;55.872;19.519741;-96.915634;4348.39;0.0;132.25806;9 / 17;99.7;56.0;3.817;22;2014-11-08 13:54:19:819
-1.0858;7.7159;4.774;-1.3197;8.6985;4.3319;0.2339;-0.9826;0.4421;0.0551;-0.6282;-0.3542;11.0;662.6;-227.1;983.2;228.57;-61.07;14.99;2.0;53.934;19.519741;-96.915634;4348.39;0.0;132.25806;9 / 17;99.7;56.0;3.817;549;2014-11-08 13:54:20:346
-2.1398;8.114;3.8762;-1.6354;8.7132;4.1923;-0.5045;-0.5993;-0.3161;0.1478;0.1286;0.081;11.0;661.0;-229.5;982.8;234.06;-62.69;21.31;2.0;45.307;19.519741;-96.915634;4348.39;0.0;132.25806;9 / 17;99.7;56.0;3.817;1055;2014-11-08 13:54:20:852
-1.6759;8.8077;3.2178;-1.754;8.8395;3.8675;0.1407;-0.0482;-0.8821;0.2485;-0.5028;-0.1816;8.0;660.6;-230.7;983.6;235.74;-63.6;23.25;2.0;49.539;19.519741;-96.915634;4348.39;0.0;132.25806;9 / 17;99.7;56.0;3.817;1555;2014-11-08 13:54:21:352
-0.2137;7.932;4.7489;-1.5989;8.4062;4.7907;1.3508;-0.5114;0.3529;-0.0802;-0.4868;-0.172;8.0;649.2;-232.7;984.8;232.35;-62.28;19.99;2.0;45.166;19.519741;-96.915634;4348.39;0.0;132.25806;9 / 17;99.7;56.0;3.817;2063;2014-11-08 13:54:21:860
-1.221;9.0567;4.9853;-1.8205;8.3922;4.7358;0.5994;0.6645;0.2496;-0.0317;0.0866;-0.021;33.0;648.0;-231.9;985.6;232.11;-57.86;19.3;2.0;38.97;19.519741;-96.915634;4348.39;0.0;132.25806;9 / 17;99.7;56.0;3.817;2574;2014-11-08 13:54:22:371
-1.7472;8.57;3.07;-2.2787;8.7599;3.7739;0.5315;-0.1898;-0.704;0.3529;0.576;0.0096;163.0;655.9;-230.2;985.2;235.05;-60.21;22.47;2.0;42.577;19.519741;-96.915634;4348.39;0.0;132.25806;9 / 17;99.7;56.0;3.817;3103;2014-11-08 13:54:22:900
-3.5219;6.6583;4.8734;-2.6412;8.8741;3.2318;-0.8807;-2.2158;1.6416;0.6783;0.6498;0.1364;52.0;668.3;-231.4;983.8;250.43;-64.81;39.26;2.0;39.615;19.519741;-96.915634;4348.39;0.0;132.25806;9 / 17;99.7;56.0;3.817;3603;2014-11-08 13:54:23:400
-4.1575;8.6317;2.074;-3.3496;8.8289;2.646;-0.8079;-0.1972;-0.572;-0.0083;0.9771;-0.2501;32.0;668.1;-234.3;987.7;256.66;-68.83;45.87;2.0;40.027;19.519741;-96.915634;4348.39;0.0;132.25806;9 / 17;99.7;56.0;3.817;4104;2014-11-08 13:54:23:901
-2.4074;10.234;1.6299;-3.0086;9.1455;1.8652;0.6012;1.0885;-0.2353;0.1025;-0.3814;0.4562;32.0;673.5;-230.7;993.9;275.18;-67.09;66.13;2.0;41.95;19.519741;-96.915634;4348.39;0.0;132.25806;9 / 17;99.7;56.0;3.817;4631;2014-11-08 13:54:24:428
-2.4481;10.8374;1.3946;-2.7019;9.2642;1.7451;0.952;-0.1927;0.2865;-0.306;0.595;-0.0471;40.0;675.6;-229.9;992.2;265.99;-68.5;55.73;2.0;43.556;19.519741;-96.915634;4348.39;0.0;132.25806;9 / 17;99.7;56.0;3.817;5139;2014-11-08 13:54:24:936
-2.6438;7.8248;1.8052;-2.9756;9.0981;2.1309;0.3318;-1.2732;-0.3257;0.0232;-0.0621;0.0945;62.0;682.3;-231.9;994.2;264.86;-69.13;54.23;2.0;45.886;19.519741;-96.915634;4348.39;0.0;132.25806;9 / 17;99.7;56.0;3.817;5653;2014-11-08 13:54:25:450
